,tipo,de,val,sample,method,scenario
0,x_tcsc,22-118,0.048893314531402374,0,LM,0
1,x_tcsc,43-119,0.18434793848395595,0,LM,0
2,x_tcsc,84-120,0.03807689839051247,0,LM,0
3,B_svc,14,-1.2084977021277636,0,LM,0
4,B_svc,39,-0.13861530230913285,0,LM,0
5,B_svc,76,-0.5831590199034727,0,LM,0
6,B_svc,91,-1.7878042812468398,0,LM,0
7,B_svc,111,0.11687505462575082,0,LM,0
8,B_svc,112,-1.2861057343242557,0,LM,0
9,B_svc,115,-0.26420157684330725,0,LM,0
10,UPFC_Vsh,16-121,1.0953277043047953,0,LM,0
11,UPFC_tsh,16-121,0.22638839305680578,0,LM,0
12,UPFC_Vse,16-121,0.04199303805667914,0,LM,0
13,UPFC_tse,16-121,-1.891441332618707,0,LM,0
14,UPFC_Vsh,65-122,1.1196470926576494,0,LM,0
15,UPFC_tsh,65-122,0.4725692770778329,0,LM,0
16,UPFC_Vse,65-122,0.06065972786293699,0,LM,0
17,UPFC_tse,65-122,-2.5295811286593155,0,LM,0
18,UPFC_Vsh,88-123,1.0961653005624872,0,LM,0
19,UPFC_tsh,88-123,0.6706018776484336,0,LM,0
20,UPFC_Vse,88-123,0.13561561276744516,0,LM,0
21,UPFC_tse,88-123,-2.055726447375047,0,LM,0
22,UPFC_Vsh,99-124,1.1106671381600854,0,LM,0
23,UPFC_tsh,99-124,0.47391960301083325,0,LM,0
24,UPFC_Vse,99-124,0.07895030684385182,0,LM,0
25,UPFC_tse,99-124,-2.561763805835736,0,LM,0
0,x_tcsc,22-118,0.048973884344951306,1,LM,0
1,x_tcsc,43-119,0.1842721119076729,1,LM,0
2,x_tcsc,84-120,0.03704634158457483,1,LM,0
3,B_svc,14,-1.2042911535650291,1,LM,0
4,B_svc,39,-0.13771239110300323,1,LM,0
5,B_svc,76,-0.5957799808775506,1,LM,0
6,B_svc,91,-1.7690869471356576,1,LM,0
7,B_svc,111,0.11503347349072562,1,LM,0
8,B_svc,112,-1.2895701568039726,1,LM,0
