,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
0,0,1,1,1,13,11,8,0
1,1,1,0,1,14,30,8,0
2,2,1,1,1,13,14,8,0
3,3,1,1,1,13,10,8,0
4,4,1,0,1,14,30,8,0
5,5,1,1,1,14,10,8,0
6,6,1,1,1,13,11,8,0
7,7,1,1,1,13,11,8,0
8,8,1,0,1,17,30,9,0
9,9,1,1,1,13,12,8,0
10,10,1,0,1,14,30,8,0
11,11,1,0,1,13,30,8,0
12,12,1,1,1,14,13,8,0
13,13,1,1,1,14,11,8,0
14,14,1,0,1,13,30,8,0
15,15,1,0,1,14,30,8,0
16,16,1,0,1,13,30,8,0
17,17,1,0,1,13,30,8,0
18,18,1,0,1,18,30,9,0
19,19,1,0,1,13,30,8,0
20,20,1,1,1,13,13,8,0
21,21,1,0,1,13,30,8,0
22,22,1,1,1,14,13,8,0
23,23,1,1,1,14,10,8,0
24,24,1,0,1,14,30,8,0
25,25,1,0,1,14,30,8,0
26,26,1,1,1,13,11,8,0
27,27,1,0,1,13,30,8,0
28,28,1,1,1,13,14,8,0
29,29,1,0,1,14,30,8,0
30,30,1,0,1,13,30,8,0
31,31,1,1,1,13,14,8,0
32,32,1,1,1,13,14,8,0
33,33,1,1,1,14,12,8,0
34,34,1,0,1,14,30,8,0
35,35,1,1,1,14,12,8,0
36,36,1,0,1,13,30,8,0
37,37,1,1,1,13,10,8,0
38,38,1,1,1,14,10,8,0
39,39,1,0,1,17,30,9,0
40,40,1,0,1,19,30,8,0
41,41,1,1,1,14,11,8,0
42,42,1,1,1,16,10,8,0
43,43,1,1,1,14,14,9,0
44,44,1,0,1,14,30,8,0
45,45,1,1,1,13,9,8,0
46,46,1,0,1,13,30,8,0
47,47,1,1,1,13,10,8,0
48,48,1,0,1,14,30,9,0
49,49,1,0,1,14,30,9,0
50,50,1,0,1,13,30,8,0
51,51,1,0,1,14,30,8,0
52,52,1,0,1,13,30,8,0
53,53,1,0,1,13,30,9,0
54,54,1,0,1,14,30,8,0
55,55,1,0,1,14,30,8,0
56,56,1,0,1,14,30,8,0
57,57,1,0,1,13,30,8,0
58,58,1,1,1,14,14,8,0
59,59,1,0,1,13,30,8,0
60,60,1,0,1,14,30,8,0
61,61,1,1,1,13,10,8,0
62,62,1,0,1,14,30,8,0
63,63,1,1,1,14,9,8,0
64,64,1,1,1,13,13,8,0
65,65,1,0,1,13,30,8,0
66,66,1,1,1,14,12,8,0
67,67,1,1,1,13,10,8,0
68,68,1,1,1,14,12,8,0
69,69,1,0,1,14,30,8,0
70,70,1,1,1,14,11,8,0
71,71,1,1,1,13,15,8,0
72,72,1,1,1,13,13,8,0
73,73,1,0,1,13,30,8,0
74,74,1,1,1,14,16,8,0
75,75,1,1,1,14,21,8,0
76,76,1,1,1,13,11,8,0
77,77,1,1,1,13,13,8,0
78,78,1,1,1,13,14,8,0
79,79,1,1,1,13,12,8,0
80,80,1,1,1,14,11,8,0
81,81,1,1,1,14,9,8,0
82,82,1,1,1,13,16,8,0
83,83,1,0,1,15,30,8,0
84,84,1,0,1,13,30,8,0
85,85,1,1,1,14,10,8,0
86,86,1,1,1,14,12,8,0
87,87,1,1,1,13,11,8,0
88,88,1,0,1,14,30,8,0
89,89,1,0,1,14,30,8,0
90,90,1,0,1,14,30,8,0
91,91,1,1,1,14,10,8,0
92,92,1,1,1,14,20,8,0
93,93,1,1,1,14,11,8,0
94,94,1,1,1,14,9,8,0
95,95,1,0,1,13,30,8,0
96,96,1,1,1,14,11,8,0
97,97,1,0,1,13,30,8,0
98,98,1,0,1,14,30,8,0
99,99,1,0,1,14,30,8,0
100,0,1,0,1,11,30,7,1
101,1,1,0,1,11,30,8,1
102,2,1,0,1,11,30,8,1
103,3,1,0,1,11,30,8,1
104,4,1,0,1,11,30,8,1
105,5,1,0,1,11,30,8,1
106,6,1,0,1,11,30,8,1
107,7,1,0,1,11,30,8,1
108,8,1,0,1,11,30,7,1
109,9,1,0,1,11,30,7,1
110,10,1,0,1,11,30,8,1
