from/to,PFlow,QFlow
0-1,1.5688289052897009,-0.2040429168344602
1-0,-1.525852901929495,0.2767624972691003
0-4,0.7551038182428775,0.0385499114135861
4-0,-0.7274750923177131,0.02229358710376328
1-2,0.732375792372759,0.035602029508563504
2-1,-0.7091430990310066,0.016022328732375968
1-3,0.5613149593873648,-0.015503504013508085
3-1,-0.5445483810670546,0.030206874669768347
1-4,0.4151621501720466,0.011709978571163404
4-1,-0.40612461664097177,-0.020990339663458535
2-3,-0.23285690095805345,0.044731156221740065
3-2,0.23659135052398472,-0.04835652496987919
3-4,-0.6115823044513427,0.15823641939658017
4-3,0.6167265003839502,-0.14201004555971508
3-6,0.28074175915785227,-0.09681065714944204
6-3,-0.28074175915785227,0.11384279940653741
3-8,0.1607975758290408,-0.004276111815586958
8-3,-0.1607975758290408,0.017323220059412447
4-5,0.440873208594861,0.12470679810980556
5-4,-0.440873208594861,-0.08049518191114391
5-10,0.07353276982565671,0.035604729705351446
10-5,-0.07297903659027893,-0.0344451430500925
5-11,0.07786067015264786,0.02503414236929613
11-5,-0.07714257771111144,-0.023539591661710713
5-12,0.17747976862048453,0.07216575388253688
12-5,-0.1753589146693586,-0.06798913038725196
6-7,-5.733802484697681e-13,-0.17162970509526687
7-6,5.733802484697681e-13,0.17623451366398335
6-8,0.2807417591607834,0.0577869056904472
8-6,-0.2807417591607834,-0.0497662186850345
8-9,0.05227552469552332,0.04219137798500405
9-8,-0.05214677618678998,-0.041849370786387396
8-13,0.094263810299829,0.03610006238506269
13-8,-0.09310226938639676,-0.03362930924074803
9-10,-0.03785322381285461,-0.016150629213621315
10-9,0.037979036590865434,0.01644514304997191
11-12,0.016142577711078854,0.007539591661830158
12-11,-0.016079595127893143,-0.007482607419900589
12-13,0.0564385097983231,0.017471737807583043
13-12,-0.05589773061245351,-0.01637069075752473
