id,P,Q
0,2.3239327235325784,-0.16549300542087408
1,0.18300000000267524,0.3085710013353191
2,-0.94199999998906,0.06075348495411603
3,-0.4780000000075195,0.03900000013144034
4,-0.07599999997987372,-0.016000000009604776
5,-0.11199999999607191,0.05230944404604054
6,2.357780637396445e-12,1.7177370637000422e-12
7,5.733802484697681e-13,0.17623451366398335
8,-0.2949999999944719,-0.1659999999996275
9,-0.08999999999964459,-0.05800000000000871
10,-0.0349999999994135,-0.018000000000120586
11,-0.061000000000032584,-0.015999999999880554
12,-0.13499999999892864,-0.05799999999956951
13,-0.14899999999885027,-0.04999999999827276
