<<<<<<< HEAD
1,3,1003,0.3,-0.010000,-0.11736
1,23,1023,0.3,-0.010000,-1.95072
1,33,1033,0.3,-0.010000,-0.188628
1,41,1041,0.3,-0.010000,-0.25908
1,43,1043,0.3,-0.010000,-0.199116
1,50,1050,0.3,-0.010000,0.4305
1,59,1059,0.3,-0.010000,-0.620628
1,75,1075,0.3,-0.010000,-0.415296
1,83,1083,0.3,-0.010000,-0.513252
1,100,1100,0.3,-0.010000,0.724332
=======
1,3,1003,0.3,-0.01000,-0.10269
1,23,1023,0.3,-0.01000,-1.70688
1,33,1033,0.3,-0.01000,-0.1650495
1,41,1041,0.3,-0.01000,-0.226695
1,43,1043,0.3,-0.01000,-0.1742265
1,50,1050,0.3,-0.01000,0.3766875
1,59,1059,0.3,-0.01000,-0.5430495
1,75,1075,0.3,-0.01000,-0.363384
1,83,1083,0.3,-0.01000,-0.4490955
1,100,1100,0.3,-0.01000,0.6337905
>>>>>>> refs/remotes/origin/TCSC
