,Tipo,de,para,Res,Rn,bhat
0,0,1,-1,0.0002587905922633027,0.01734944597014982,0.018020009886675757
1,0,2,-1,0.001741309907950822,7.347719352399981,42.869314779805634
2,0,5,-1,0.0001779292438877783,3.9529605656235036,44.49589675041359
3,0,7,-1,1.412541639211895e-09,0.031574294852112786,7.057746601823226
4,0,8,-1,4.6107848671906184e-10,5.647025700853495e-05,6.916154230706935e-05
5,0,9,-1,-0.00013237264491722245,0.08429915415598621,0.10557934039308924
6,0,13,-1,-1.220764407428021e-05,0.01766567697698495,0.023007594834896034
7,0,14,-1,-1.59640008383366e-05,0.019298203000968323,0.023173253281079456
8,1,1,-1,0.00327944725619711,5.151157954371992,8.92683389360059
9,1,2,-1,0.0328158315674596,16.195697754135736,18.635344423621344
10,1,5,-1,-2.445292548801381e-05,2.186711979167181,20.858403633499506
11,1,7,-1,1.2893450751505497e-08,0.11359909772455924,10.008767437473747
12,1,8,-1,3.438320949591955e-05,0.03182429633126081,0.0346075518068233
13,1,9,-1,-0.0009441286815724814,0.9531001657682326,1.0647869699482078
14,1,13,-1,-1.9318050520751584e-05,0.06107654405656589,0.07466590735382102
15,1,14,-1,-2.4882679508134165e-05,0.0903494755987286,0.10935354635335472
16,2,1,2,0.004059412875042634,0.4040956962942477,0.42071650249869835
17,3,1,2,0.004176893442758317,3.5672636748336726,4.144262491766188
18,2,2,3,-0.0038846769977038953,0.8173692178804773,0.8397004166049452
19,3,2,3,-0.0008021497421112564,8.292668878600871,20.347747409375817
20,2,3,4,-0.00420949171330795,4.345342738703622,6.963318620808022
21,3,3,4,-0.0006666496780642628,5.207485597587419,12.130473999788281
22,2,4,5,0.007674754789922966,2.0911135223988153,2.3230275541199608
23,3,4,5,-0.0008937499258115378,0.9009237410264134,0.9580213311107499
24,2,5,6,-0.0014528232898244897,0.5208809370887709,0.548891587265342
25,3,5,6,0.00026513725538168664,0.3457912245236725,0.37493506180730657
26,2,6,11,1.6545189381475534e-05,0.04530626709434469,0.06081835422238711
27,3,6,11,2.327171783791937e-06,0.012747905605885354,0.01657544921619029
28,2,6,12,5.035484888837871e-06,0.011338399080046115,0.01325223796030813
29,3,6,12,1.6432605213743956e-06,0.01280492953136127,0.016652854501964562
30,2,6,13,9.890834052256325e-06,0.009179803901616827,0.010080720279694767
31,3,6,13,-1.546960920750795e-06,0.0035002152014072126,0.00381022236461324
32,2,7,8,-4.6107848671906184e-10,5.647025700853495e-05,6.916154230706935e-05
33,3,7,8,-5.547349642975874e-05,0.05250048881600616,0.056851553759692544
34,2,7,9,7.68590754445242e-05,0.04453639041930115,0.04830039651635251
35,3,7,9,-0.00017795662153294312,0.7135054665945386,1.1020938925693022
36,2,9,10,-1.3436516631826212e-06,0.00538912952071848,0.0075328181833033275
37,3,9,10,2.6288164795114366e-05,0.12725676685068138,0.17327431037469898
38,2,9,14,-1.4980290583693767e-06,0.002986656734007941,0.0037420024511418673
39,3,9,14,5.886526348954091e-06,0.030218599648426575,0.037334189150259295
40,2,10,11,-8.591031557446394e-06,0.1459655738822877,0.625845169010016
41,3,10,11,-2.146208463824073e-06,0.07866236449525407,0.31042700306453747
42,2,12,13,-2.1764861980050343e-07,0.006800853857248982,0.02286931696687521
43,3,12,13,-3.075154019005835e-07,0.021191351506911378,0.0734019309827777
44,2,4,2,0.007761754462753512,2.2449063113777132,2.3571204138503545
45,3,4,2,-0.0002670162120846191,2.055394038205981,3.1861590613057
46,2,5,2,0.006064494318348157,2.333321782793809,2.4306516092619477
47,3,5,2,0.0003339232073822536,3.594549099107172,5.414640455262514
48,2,6,5,0.0014528232898244897,0.5208809370887709,0.548891587265342
49,3,6,5,-0.0007513600179475249,1.7693067238731588,2.235820322541505
50,2,7,4,-7.685720182437628e-05,0.044535356656727365,0.04829933168917414
51,3,7,4,0.00023344301141345336,0.33190292578407393,0.35814228026188194
52,2,8,7,4.6107848671906184e-10,5.647025700853495e-05,6.916154230706935e-05
53,3,8,7,3.438320949591955e-05,0.03182429633126081,0.0346075518068233
54,2,9,4,-5.2771888751135254e-05,0.05339519439801061,0.057914859765043666
55,3,9,4,5.582458532455564e-06,0.08719087913855,0.15727274536386854
56,2,10,9,6.704049866843032e-07,0.002694054616380223,0.0037636736603095335
57,3,10,9,-2.7954915635418354e-05,0.13662782278840666,0.1863022441593711
58,2,11,6,-1.912925668610954e-05,0.05259410520589474,0.0703530120556023
59,3,11,6,-7.865000662181376e-06,0.045295588163875744,0.05990309120362583
60,2,13,6,-2.063708384361651e-05,0.01935112199116382,0.02121292353208441
61,3,13,6,-1.9629939462223467e-05,0.04758263637648041,0.052278855936806076
62,2,14,13,-1.1263472257945495e-05,0.04081331812424807,0.05511048010507514
63,3,14,13,-5.944874626389457e-06,0.08599518436861474,0.13576304018039223
64,4,1,-1,0.0023540822198482303,0.6879464701973466,0.7103498232115713
65,4,2,-1,0.0020682692758176024,0.613230226650355,0.633337293910137
66,4,3,-1,0.002310560263589334,0.7106366021893462,0.7358308029046147
67,4,6,-1,0.002759620753874259,0.8013387396755877,0.829937518334215
68,4,8,-1,0.0026988395620271,0.7671296895404572,0.7922564029017259
69,4,12,-1,0.0027963729482474164,0.8250605536747418,0.8562200460985175
