Inicio
value27,fat0.8,4,4,7,
value27,fat0.4,4,4,5,
value27,fat0.2,4,4,4,
value27,fat0,4,4,4,
value27,fat-0.2,4,4,4,
value27,fat-0.4,4,4,4,
value27,fat-0.8,4,4,5,
value18,fat0.8,3,3,5,
value18,fat0.4,4,4,4,
value18,fat0.2,4,4,4,
value18,fat0,4,4,4,
value18,fat-0.2,4,4,4,
value18,fat-0.4,4,4,4,
value18,fat-0.8,4,4,5,
value9,fat0.8,3,3,4,
value9,fat0.4,4,4,4,
value9,fat0.2,4,4,4,
value9,fat0,4,4,4,
value9,fat-0.2,4,4,4,
value9,fat-0.4,4,4,4,
value9,fat-0.8,4,4,5,
value0,fat0.8,3,3,5,
value0,fat0.4,4,4,5,
value0,fat0.2,4,4,4,
value0,fat0,4,4,4,
value0,fat-0.2,4,4,4,
value0,fat-0.4,4,4,4,
value0,fat-0.8,4,4,6,
