dx,dz
4.542978798746502,1.0
1.571116615418694,0.08238448384757915
0.6447549014068439,0.010763292316912662
0.5922532773341281,0.0013849006021117672
0.4153574448142822,0.00016582008891999028
0.568795756744243,1.9918527181080546e-05
2.4993656393872596,5.571069690977727e-06
4.106265775781821,6.317442314705641e-06
2.594875740105262,7.962605168033645e-06
7.7956060182641425,8.159366015460076e-06
6.052072027121313,1.4840819665982667e-06
212.45870402031807,1.1783846234049805e-06
205006.95601268281,2.369727797478532e-07
8864546820.718737,3.3095895724347694e-07
5.0378038703539675e+19,2.8482978675694174e-07
