Estimador 1 
3.428979e+11,3.542898e+03
1.812514e+11,2.192589e+03
1.539905e+11,2.215986e+03
1.534395e+11,1.758978e+03
2.021972e+11,3.228406e+03
2.247120e+11,4.291770e+03
3.202754e+11,4.069553e+04
2.946104e+11,5.677312e+05
8.913877e+16,3.627850e+08
1.423870e+18,1.448547e+09
4.290002e+19,8.182273e+09
2.145334e+22,3.329876e+11
1.572827e+24,2.513568e+10
9.307517e+35,2.432041e+16
1.982451e+37,1.243301e+26
4.728404e+41,6.823774e+26
7.293228e+40,1.926168e+29
1.679879e+49,1.552379e+29
nan,nan
nan,nan
Estimador 2 
1.702866e+15,3.203923e+05
4.068682e+14,1.511534e+05
1.531177e+14,3.781491e+05
4.385332e+14,7.931521e+05
3.663920e+15,5.669890e+05
6.079880e+16,3.283675e+06
1.364763e+17,5.266340e+06
2.655938e+17,7.434659e+06
3.369184e+17,7.996292e+06
2.081488e+18,1.823848e+07
6.993536e+17,8.689782e+06
5.097723e+18,1.005506e+07
7.795258e+19,3.947533e+07
2.894708e+20,7.622465e+07
7.095637e+20,1.194746e+08
2.184256e+21,2.098559e+08
4.589500e+21,3.043809e+08
7.160416e+21,4.183348e+08
1.175959e+22,6.045033e+08
2.176886e+22,9.155333e+08
