dx,dz
3.8338305937568617,1.0
1.8058877677793226,0.07712506529090161
1.0125594582829291,0.01811753617330139
0.2591466706143588,0.14148907816676626
0.05910617716573139,0.014735167856138343
0.10522742589204193,0.006009346735492501
0.02710601370222303,0.00976920463726463
0.014992935234296496,0.001834533469373382
0.02431523935871094,0.00043863953224986934
0.03856524668817624,0.00010547140645994374
0.0407995269717302,2.484651392378272e-05
0.018253241804574,5.140699084773367e-06
0.0019389693122241582,5.296327746773385e-07
1.8949796193398606e-05,6.154160734693914e-09
1.9375118056851545e-09,6.605745738296542e-13
