dx,dz
112.0287656881145,1.0
263.72057771451034,0.1536144395589089
162.3494922272077,0.144186719926227
286.47488337075407,0.06796807995802372
286.4750055858637,0.06796807995802386
286.4749979675431,0.06796807995802377
286.4750373736631,0.06796807995802383
286.47500697669994,0.06796807995802383
286.4749834891326,0.06796807995802377
286.4749789237849,0.06796807995802377
286.47494312674837,0.06796807995802383
286.4748441349334,0.06796807995802391
286.4749503363425,0.06796807995802391
286.4750083523189,0.06796807995802394
286.47487007596106,0.06796807995802387
